,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
154,60.7,1.5,1.7,3.2,4.8,1.5,4.0,4.6,1,2.0,224.0,0,1,0
155,60.7,2.0,1.7,3.2,4.8,1.5,4.0,4.6,1,1.0,213.0,0,1,0
156,60.7,1.5,1.5,4.7,2.0,3.9,4.8,4.6,25,0.0,226.0,0,25,0
157,60.7,2.0,1.5,4.7,2.0,3.9,4.8,4.6,25,0.0,214.0,0,25,0
158,37.5,1.5,1.7,4.7,2.0,3.9,4.8,4.6,10,0.0,141.0,0,10,0
159,37.5,2.0,1.7,4.7,2.0,3.9,4.8,4.6,10,0.0,128.0,0,10,0
160,37.5,1.5,1.5,3.2,2.0,3.9,4.8,4.6,2,14.0,127.0,0,2,0
161,37.5,2.0,1.5,3.2,2.0,3.9,4.8,4.6,2,20.0,108.0,0,2,0
162,37.5,1.5,1.5,4.7,4.8,3.9,4.8,4.6,1,0.0,141.0,0,1,0
163,37.5,2.0,1.5,4.7,4.8,3.9,4.8,4.6,1,0.0,128.0,0,1,0
164,37.5,2.0,1.5,4.7,2.0,1.5,4.8,4.6,25,0.0,128.0,0,25,0
165,37.5,1.5,1.5,4.7,2.0,3.9,4.0,4.6,10,0.0,141.0,0,10,0
166,37.5,2.0,1.5,4.7,2.0,3.9,4.0,4.6,10,0.0,128.0,0,10,0
167,37.5,1.5,1.5,4.7,2.0,3.9,4.8,3.3,2,0.0,141.0,0,2,0
168,37.5,2.0,1.5,4.7,2.0,3.9,4.8,3.3,2,0.0,128.0,0,2,0
169,37.5,1.5,1.5,4.7,2.0,3.9,4.8,4.6,1,0.0,141.0,0,1,0
170,37.5,2.0,1.5,4.7,2.0,3.9,4.8,4.6,1,0.0,128.0,0,1,0
171,83.2,1.5,1.4,2.2,1.8,2.5,3.0,4.5,25,262.0,36.0,0,25,0
172,83.2,2.0,1.4,2.2,1.8,2.5,3.0,4.5,25,261.0,69.0,0,25,0
173,15.0,2.0,1.4,2.2,1.8,2.5,3.0,4.5,10,107.0,21.0,0,10,0
174,83.2,2.0,1.8,2.2,1.8,2.5,3.0,4.5,2,261.0,69.0,0,2,0
175,83.2,2.0,1.4,3.7,1.8,2.5,3.0,4.5,1,37.0,293.0,0,1,0
176,83.2,2.0,1.4,2.2,3.0,2.5,3.0,4.5,11,143.0,187.0,0,11,0
177,83.2,2.0,1.4,2.2,1.8,4.9,3.0,4.5,5,200.0,130.0,0,5,0
178,83.2,2.0,1.4,2.2,1.8,2.5,1.8,4.5,3,266.0,64.0,0,3,0
179,83.2,2.0,1.4,2.2,1.8,2.5,3.0,3.4,1,261.0,69.0,0,1,0
180,83.2,2.5,1.4,2.2,1.8,2.5,3.0,3.4,1,166.0,75.0,0,1,0
181,83.2,2.0,1.8,3.7,3.0,4.9,1.8,3.4,11,2.0,328.0,0,11,0
182,83.2,2.5,1.8,3.7,3.0,4.9,1.8,3.4,11,1.0,240.0,0,11,0
183,15.0,2.0,1.4,3.7,3.0,4.9,1.8,3.4,5,2.0,126.0,0,5,0
184,15.0,2.5,1.4,3.7,3.0,4.9,1.8,3.4,5,2.0,146.0,0,5,0
185,15.0,2.0,1.8,2.2,3.0,4.9,1.8,3.4,3,56.0,72.0,0,3,0
