,0,1,2,3,4,5,6
151,61.0,2.0,4.0,10.0,2.0,8.0,5.0
152,61.0,2.0,6.0,3.0,5.0,9.0,5.0
153,38.0,2.0,6.0,3.0,5.0,9.0,5.0
154,38.0,2.0,4.0,3.0,5.0,9.0,5.0
155,38.0,2.0,6.0,10.0,5.0,9.0,5.0
156,38.0,2.0,6.0,3.0,2.0,9.0,5.0
157,38.0,2.0,6.0,3.0,5.0,8.0,5.0
158,38.0,2.0,6.0,3.0,5.0,9.0,3.0
159,38.0,2.0,6.0,3.0,5.0,9.0,5.0
160,83.0,2.0,2.0,3.0,3.0,6.0,5.0
161,15.0,2.0,2.0,3.0,3.0,6.0,5.0
162,83.0,3.0,2.0,3.0,3.0,6.0,5.0
163,83.0,2.0,4.0,3.0,3.0,6.0,5.0
164,83.0,2.0,2.0,5.0,3.0,6.0,5.0
165,83.0,2.0,2.0,3.0,6.0,6.0,5.0
166,83.0,2.0,2.0,3.0,3.0,3.0,5.0
167,83.0,2.0,2.0,3.0,3.0,6.0,3.0
168,83.0,3.0,4.0,5.0,6.0,3.0,3.0
169,15.0,2.0,4.0,5.0,6.0,3.0,3.0
170,15.0,3.0,2.0,5.0,6.0,3.0,3.0
171,15.0,3.0,4.0,3.0,6.0,3.0,3.0
172,15.0,3.0,4.0,5.0,3.0,3.0,3.0
173,15.0,3.0,4.0,5.0,6.0,6.0,3.0
174,15.0,3.0,4.0,5.0,6.0,3.0,5.0
175,15.0,3.0,4.0,5.0,6.0,3.0,3.0
176,38.0,3.0,5.0,7.0,5.0,1.0,2.0
177,60.0,3.0,5.0,7.0,5.0,1.0,2.0
178,38.0,2.0,5.0,7.0,5.0,1.0,2.0
179,38.0,3.0,2.0,7.0,5.0,1.0,2.0
180,38.0,3.0,5.0,10.0,5.0,1.0,2.0
181,38.0,3.0,5.0,7.0,3.0,1.0,2.0
182,38.0,3.0,5.0,7.0,5.0,7.0,2.0
183,38.0,3.0,5.0,7.0,5.0,1.0,6.0
184,38.0,2.0,2.0,10.0,3.0,7.0,6.0
185,60.0,3.0,2.0,10.0,3.0,7.0,6.0
186,60.0,2.0,5.0,10.0,3.0,7.0,6.0
187,60.0,2.0,2.0,7.0,3.0,7.0,6.0
188,60.0,2.0,2.0,10.0,5.0,7.0,6.0
189,60.0,2.0,2.0,10.0,3.0,1.0,6.0
190,60.0,2.0,2.0,10.0,3.0,7.0,2.0
191,60.0,2.0,2.0,10.0,3.0,7.0,6.0
192,49.0,2.0,4.0,6.0,6.0,4.0,4.0
193,26.0,2.0,4.0,6.0,6.0,4.0,4.0
194,49.0,3.0,4.0,6.0,6.0,4.0,4.0
195,49.0,2.0,5.0,6.0,6.0,4.0,4.0
196,49.0,2.0,4.0,4.0,6.0,4.0,4.0
197,49.0,2.0,4.0,6.0,3.0,4.0,4.0
198,49.0,2.0,4.0,6.0,6.0,2.0,4.0
199,49.0,2.0,4.0,6.0,6.0,4.0,4.0
200,49.0,3.0,5.0,4.0,3.0,2.0,4.0
