,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
204,31.9,1.0,2.0,1.9,6.2,1.2,3.0,5.0,11,119.0,0.0,0,11,0
205,31.9,2.0,2.0,1.9,6.2,1.2,3.0,5.0,11,128.0,0.0,0,11,0
206,31.9,1.0,2.0,1.9,6.2,1.6,1.3,5.0,3,119.0,0.0,0,3,0
207,31.9,2.0,2.0,1.9,6.2,1.6,1.3,5.0,3,128.0,0.0,0,3,0
208,31.9,2.0,2.0,1.9,6.2,1.6,3.0,3.6,2,128.0,0.0,0,2,0
209,31.9,1.0,2.0,1.9,6.2,1.6,3.0,5.0,1,119.0,0.0,0,1,0
210,31.9,2.0,2.0,1.9,6.2,1.6,3.0,5.0,1,128.0,0.0,0,1,0
211,66.3,1.0,1.9,2.9,8.1,3.2,3.3,1.1,13,132.0,126.0,13,0,0
212,76.9,1.0,1.9,2.9,8.1,3.2,3.3,1.1,4,149.0,145.0,4,0,0
213,66.3,1.0,1.5,2.9,8.1,3.2,3.3,1.1,3,132.0,126.0,3,0,0
214,66.3,1.0,1.9,3.9,8.1,3.2,3.3,1.1,1,13.0,245.0,1,0,0
215,66.3,1.0,1.9,2.9,8.2,3.2,3.3,1.1,13,132.0,126.0,13,0,0
216,66.3,1.0,1.9,2.9,8.1,3.6,3.3,1.1,4,132.0,126.0,4,0,0
217,66.3,1.0,1.9,2.9,8.1,3.2,1.0,1.1,3,132.0,126.0,3,0,0
218,66.3,1.0,1.9,2.9,8.1,3.2,3.3,2.5,1,132.0,126.0,1,0,0
219,66.3,1.0,1.5,3.9,8.2,3.6,1.0,2.5,13,13.0,245.0,13,0,0
220,76.9,1.0,1.9,3.9,8.2,3.6,1.0,2.5,4,8.0,286.0,4,0,0
221,76.9,1.0,1.5,2.9,8.2,3.6,1.0,2.5,3,149.0,145.0,3,0,0
222,76.9,1.0,1.5,3.9,8.1,3.6,1.0,2.5,1,8.0,286.0,1,0,0
223,76.9,1.0,1.5,3.9,8.2,3.2,1.0,2.5,13,8.0,286.0,13,0,0
224,76.9,1.0,1.5,3.9,8.2,3.6,3.3,2.5,4,8.0,286.0,4,0,0
225,76.9,1.0,1.5,3.9,8.2,3.6,1.0,1.1,3,8.0,286.0,3,0,0
226,76.9,1.0,1.5,3.9,8.2,3.6,1.0,2.5,1,8.0,286.0,1,0,0
227,88.8,2.0,1.1,3.9,7.1,4.2,4.3,4.8,11,0.0,330.0,0,11,0
228,99.4,2.0,1.1,3.9,7.1,4.2,4.3,4.8,3,0.0,330.0,0,3,0
229,88.8,2.0,1.2,3.9,7.1,4.2,4.3,4.8,2,0.0,330.0,0,2,0
230,88.8,2.0,1.1,4.9,7.1,4.2,4.3,4.8,1,0.0,330.0,0,1,0
231,88.8,2.0,1.1,3.9,9.2,4.2,4.3,4.8,3,0.0,330.0,0,3,0
232,88.8,2.0,1.1,3.9,7.1,4.6,4.3,4.8,3,0.0,330.0,0,3,0
233,88.8,2.0,1.1,3.9,7.1,4.2,4.0,4.8,2,0.0,330.0,0,2,0
234,88.8,2.0,1.1,3.9,7.1,4.2,4.3,3.7,1,0.0,330.0,0,1,0
235,88.8,1.0,1.2,4.9,9.2,4.6,4.0,3.7,5,0.0,325.0,5,0,0
236,99.4,1.0,1.1,4.9,9.2,4.6,4.0,3.7,3,0.0,373.0,3,0,0
237,99.4,1.0,1.2,3.9,9.2,4.6,4.0,3.7,3,14.0,359.0,3,0,0
238,99.4,1.0,1.2,4.9,7.1,4.6,4.0,3.7,1,0.0,373.0,1,0,0
239,99.4,2.0,1.2,4.9,9.2,4.2,4.0,3.7,3,0.0,330.0,0,3,0
240,99.4,2.0,1.2,4.9,9.2,4.6,4.3,3.7,3,0.0,330.0,0,3,0
241,99.4,2.0,1.2,4.9,9.2,4.6,4.0,4.8,2,0.0,330.0,0,2,0
242,99.4,2.0,1.2,4.9,9.2,4.6,4.0,3.7,1,0.0,330.0,0,1,0
243,43.8,2.0,1.6,1.9,9.1,2.2,2.3,2.3,3,106.0,22.0,0,3,0
244,54.4,2.0,1.6,1.9,9.1,2.2,2.3,2.3,3,170.0,44.0,0,3,0
245,43.8,2.0,1.7,1.9,9.1,2.2,2.3,2.3,2,106.0,22.0,0,2,0
246,43.8,2.0,1.6,1.9,7.2,2.2,2.3,2.3,3,106.0,22.0,0,3,0
247,43.8,2.0,1.6,1.9,9.1,2.6,2.3,2.3,3,106.0,22.0,0,3,0
248,43.8,2.0,1.6,1.9,9.1,2.2,2.0,2.3,2,106.0,22.0,0,2,0
249,43.8,2.0,1.6,1.9,9.1,2.2,2.3,1.2,1,94.0,34.0,0,1,0
250,54.4,2.0,1.6,2.9,7.2,2.6,2.0,1.2,3,33.0,181.0,0,3,0
251,54.4,2.0,1.7,1.9,7.2,2.6,2.0,1.2,2,148.0,66.0,0,2,0
252,54.4,2.0,1.7,2.9,9.1,2.6,2.0,1.2,1,32.0,182.0,0,1,0
253,54.4,2.0,1.7,2.9,7.2,2.2,2.0,1.2,3,33.0,181.0,0,3,0
254,54.4,2.0,1.7,2.9,7.2,2.6,2.3,1.2,3,33.0,181.0,0,3,0
255,54.4,2.0,1.7,2.9,7.2,2.6,2.0,2.3,2,33.0,181.0,0,2,0
256,54.4,2.0,1.7,2.9,7.2,2.6,2.0,1.2,1,33.0,181.0,0,1,0
257,88.1,2.0,1.0,2.4,9.6,2.7,1.8,5.4,12,45.0,161.0,0,12,0
258,32.6,2.0,1.0,3.4,9.6,2.7,1.8,5.4,1,1.0,79.0,0,1,0
259,32.6,2.0,1.1,3.4,9.7,2.1,4.5,3.1,18,1.0,127.0,0,18,0
260,88.1,2.0,1.0,3.4,9.7,2.1,4.5,3.1,12,0.0,206.0,0,12,0
261,88.1,2.0,1.1,3.4,9.6,2.1,4.5,3.1,1,0.0,330.0,0,1,0
262,88.1,1.0,1.1,3.4,9.7,2.7,4.5,3.1,26,13.0,312.0,21,0,0
263,77.6,2.0,1.5,4.4,7.6,4.7,3.8,2.9,18,0.0,288.0,0,18,0
264,43.1,2.0,1.5,4.4,7.6,4.7,3.8,2.9,12,0.0,128.0,0,12,0
265,77.6,2.0,1.6,4.4,7.6,4.7,3.8,2.9,2,0.0,288.0,0,2,0
266,77.6,2.0,1.5,1.4,7.6,4.7,3.8,2.9,1,201.0,87.0,0,1,0
